SMILES,Name,MolWeight
c1cn(C23CC4CC(CC(C4)C2)C3)nc1-n1cnnn1,,270.16
Cc1ccc2c(c1)C1C3CCC(C3)C1S(=O)(=O)N2,,263.1
CNC(=O)N1CCCN2C(=O)N(C3CCCCC3)C(=O)C2C1,,308.18
S=c1[nH]c2c(Cl)c(Cl)c(Cl)cc2o1,,252.89
N#Cc1cc2c(cc1C#N)Oc1ccc3ccccc3c1C=C2,,294.08
c1cnc(-c2nc3c4c5c(sc4ncn3n2)CCC5)cn1,,294.07
CC1CCN(CN2C(=O)N(CN3C(=O)N(CN4CCC(C)CC4)C(=O)C3(C)C)C(C)(C)C2=O)CC1,,490.33
COc1ccc2oc3cc(OCC(=O)N4CCNC4=O)cc(O)c3c(=O)c2c1,,384.1
Cc1c(Br)nc(Br)n1C(C)C,,279.92
OC1(CC#CCN(Cc2ccccc2)Cc2ccccc2)c2ccccc2-c2ccccc21,,429.21
CSc1nncn1/N=C/c1cc(Br)cs1,,301.93
CS(=O)(=O)N(CCN1CCOCC1)C1CCNC1,,277.15
CC(C)Sc1nc(=O)n(C2CCCCC2)c2c1CCC2,,292.16
Cc1nnsc1-c1nnc2sc(-c3ccco3)nn12,,290.0
COc1ccc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(OC)c(OC)c2)cc1OC,,386.17
Cc1nc(N2CCCC2)c2sc(=S)n(C)c2n1,,266.07
Nc1c(I)cnn1CC(F)F,,272.96
CCCC12CN3CC(C)(CN(C1)C3C(C)C)C2=O,,250.2
CC(C)(NC(=O)c1cnccn1)c1nc2c(c(C(N)=O)n1)OCO2,,330.11
CN(C)C(=O)C12CC3CC(CC(Br)(C3)C1)C2,,285.07
O=C1Nc2ccc(Cl)cc2OC1(O)C(F)(F)Cl,,282.96
C1CNCC(OCCc2noc(C3CCOCC3)n2)C1,,281.17
N#Cc1c(N)sc2c1CCCCCCCCCC2,,262.15
CC1=CC(C)(C)N2C(=O)C(=O)c3cc(OC4(O)C(=O)N5c6c(cc(O)cc64)C(C)=CC5(C)C)cc1c32,,486.18
Cc1nc([C@@]23CCC[C@@H]2CN(S(=O)(=O)c2cn(C)c(C)n2)C3)no1,,351.14
CN(CCN(C)/N=C/c1ccc(Br)cc1)/N=C/c1ccc(Br)cc1,,450.01
CC1(C)OC(=O)N(CCCCCCN2C(=O)OC(C)(C)C2(C)O)C1(C)O,,372.23
O=c1cc2c(nn1CN1CCSCC1)CCC2,,251.11
Cc1cc(-c2oc(=O)oc2-c2cc(C)sc2C)c(C)s1,,306.04
O=S1(=O)NC=Nc2ccc(S(=O)(=O)N3CCN(c4ncccn4)CC3)cc21,,408.07
O=C(O)c1[nH]nc(Br)c1Br,,267.85
O=c1c(Cl)c(N2CCCCCC2)cnn1C12CC3CC(CC(C3)C1)C2,,361.19
O=S1(=O)c2ccccc2S(=O)(=O)N1c1cccc(Cl)c1,,328.96
CCSc1nnc([C@@H]2CCCN2C(=O)OC(C)(C)C)o1,,299.13
Fc1ccc(C2=Nn3c(nnc3C(F)F)SC2)c(F)c1,,302.02
O=C1CC(n2nnn(-c3ccc(O)cc3)c2=S)C2COC1O2,,320.06
O=C1NCC2(CCOCC2)N1C1CCN(S(=O)(=O)N2CCOCC2)CC1,,388.18
O=C(c1ccco1)N(C(=O)c1ccco1)c1ncnc2oc(-c3ccco3)c(-c3ccco3)c12,,455.08
O=S(=O)(c1ccc(Br)s1)N1CCCC1c1cccs1,,376.92
c1ccc(C2(c3ccccc3)OC(c3ccccn3)Nc3ccccc32)cc1,,364.16
Cn1c(=O)c2nc(NC3CCCC3)[nH]c2n(C)c1=O,,263.14
CCSc1nnc2c3c4c(sc3n3c(SCC)nnc3n12)CC(C)CC4,,404.09
C1CCN(C2CCN(C3CC4CCC3C4)CC2)CC1,,262.24
CC[N+]1=C(C)C(C)(C)c2cc(-c3ccccc3)ccc21,,264.17
FC(F)Cn1nccc1I,,257.95
COC(=O)CCC1(CCC(=O)OC)C(=O)CC(C)(C)CC1=O,,312.16
Cc1ccc(N2CCN(S(=O)(=O)c3c(C)nc4scc(C)n4c3=O)CC2)c(C)c1,,432.13
O=C1[C@H]2CC=C(Cl)C[C@H]2C(=O)N1c1nnc[nH]1,,252.04
O=S(=O)(CCN1CCOCC1)c1c(F)c(F)nc(N2CCOCC2)c1F,,395.11
c1ccc(CC(CCNCc2ccc3c(c2)OCO3)c2ccc3c(c2)OCO3)cc1,,403.18
O=S1(=O)CCC(S(=O)(=O)NC2CCCCCCCCCCC2)C1,,365.17
CC(C)(C)OC(=O)N1CC[C@]2(C[C@@H](C(=O)O)NC2=O)C1,,284.14
Cc1nn(CCc2nn[nH]n2)c(C)c1Br,,270.02
CCOc1cc(-c2ccc(I)o2)cc(=O)c2c(C)oc(C)c12,,410.0
CC1=NN(c2ccccc2)C2(SC(C(=O)c3ccccc3)=NN2c2ccccc2)c2ccccc21,,474.15
O=C(CN1CCN(C(=O)CC2CCCC2)CC1=O)N1CCCC1,,321.21
COCCN1CN(CN2CN(CCOC)Cn3c2nc2ccccc23)c2nc3ccccc3n2C1,,476.26
CC(C)=CCCC1(C)OC(=O)N(C2CC(C)(C)NC(C)(C)C2)C1(C)O,,352.27
CN1c2ccccc2N(C)C1c1ccc(Cl)cc1Cl,,292.05
O=C1CSC(NC(=O)CSC2=NCCS2)=N1,,274.99
CNc1nc(NC)nc(-n2cnc(SC)n2)n1,,252.09
Nc1nonc1-c1noc(C23CC4CC(CC(C4)C2)C3)n1,,287.14
