SMILES,Name,MolWeight
CC(NC(=O)C1C2C=CC(C2)C1C(=O)O)C1CC2CCC1C2,Y509-2051,303.18
COc1ccc(-c2cnoc2-c2cc(OC)c3c(c2)OCO3)cc1,8020-7676,325.1
CC(C)(C)c1nnc2sc(SCc3ccc(Cl)c(Cl)c3)nn2c1=O,8017-1023,400.0
Cc1ccc(-c2cc3c4c(C)n(C)c(C)c4c(C)nn3c2)o1,8017-8417,293.15
Nc1nnc(SCC(=O)Nc2nncs2)s1,3929-0028,273.98
C1CCN(C2C3CC4CC2CC(C3)C4N2CCCC2)C1,8017-4367,274.24
CCCCC12CN3CC(C)(CN(C1)C3(C)C)C2=O,D171-0166,250.2
O=S1(=O)CCCCN1c1ccc(S(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)cc1,G508-0070,453.12
CN(C)CCNc1ncnc2[nH]cc(Br)c12,FF01-2805,283.04
FC(F)Cn1cc(Cl)c(I)n1,Y507-5083,291.91
O=C(O)C1C2C=CC3(O2)C1C(=O)N1CCCOC13,8016-0746,251.08
CC[n+]1c(/C=C2\C=C(C)CC(C)(C)C2)oc2ccccc21,0716-0003,282.19
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,Y501-4219,253.11
Cn1c2c(c(=O)n(C)c1=O)CN(CCN1CCNCC1)CN2,Y021-4923,308.2
Cc1nn(C(C)C)c(C)c1-c1nn2c(-c3cccs3)nnc2s1,8020-6861,344.09
O=c1n(Cc2ccc(F)cc2)nc2c(S(=O)(=O)N3CCN(c4ccc(F)cc4)CC3)cccn12,M113-1647,485.13
c1nc2nonc2nc1C12CC3CC(CC(C3)C1)C2,8020-9023,256.13
COC(=O)CSc1sc(=O)sc1SC,8015-3335,267.94
O=S1(=O)c2cccc3cccc(c23)N1CCN1c2cccc3cccc(c23)S1(=O)=O,8015-9686,436.06
Cc1ncn(C(C)C)c1I,Y507-4203,250.0
O=C(CCSCCC(=O)NC1CCCC1)NC1CCCC1,Y204-1232,312.19
CS(=O)(=O)N1CCC(OC2CCN(S(=O)(=O)c3ccc(Cl)s3)CC2)CC1,S330-5257,442.05
CC(C)[N+](C)(C)CC#CC(O)(c1ccccc1)c1ccccc1,5599-0684,308.2
CC1(C)CC(N2C(=O)OC3(CC(C)(C)NC(C)(C)C3)C2(C)O)CC(C)(C)N1,8009-9861,381.3
c1ccc2/c(=N/c3ccc4c(c3)OCO4)cc(-c3ccc4c(c3)OCO4)oc2c1,6557-0099,385.1
Cc1n[nH]c([C@@H]2CN(S(=O)(=O)N3CCOCC3)C[C@H]2CF)n1,SB34-1342,333.13
O=C(c1cnc2sc(N3CCCCCC3)nn2c1=O)N1CCC2(CC1)OCCO2,G205-1051,419.16
Cn1cc(CN(Cc2cnn(C)c2)S(=O)(=O)c2cnn(C)c2)cn1,Y501-4143,349.13
O=C1CC(c2cc(F)ccc2F)c2cc3c(cc2N1)OCCO3,C276-0523,317.09
CSc1ncn(-c2nc(N(C)C)nc(N(C)C)n2)n1,D684-0278,280.12
COCCN[C@H]1CS(=O)(=O)C[C@@H]1S(=O)(=O)c1cccs1,D470-1634,339.03
O=C1C2C3C=CC(C3)C2C(=O)N1CN1CCN(CN2C(=O)C3C4C=CC(C4)C3C2=O)CC1,8010-2837,436.21
CCOC(=O)C1=NOC(C)([C@H]2CC=C(C)CC2)C1,8018-8776,251.15
COc1cc(OC)c(/C=N/N=C/c2cc(Br)c(OC)cc2OC)cc1Br,8008-4967,483.96
Clc1nss/c1=N\c1ccccc1/N=c1/ssnc1Cl,1451-0042,377.87
CC(C)C12CN3CC(C(C)C)(CN(C1)C3C(O)C(O)C(O)C(O)CO)C2=O,5504-0439,386.24
Cn1c(=O)c2c(nc3oc(-c4ccco4)cn32)n(C)c1=O,8018-8842,286.07
O=C1CCC[C@@H]2CN(C3CCCCCC3)C[C@@H]2N1,SB66-0805,250.2
O=C1c2ccccc2C2c3ccccc3Sc3cccc1c32,8009-1992,300.06
c1sc(N2CCNCC2)nc1CN1CCOCC1,FF20-1244,268.14
C=CCn1c(C23CC4CC(CC(C4)C2)C3)n[nH]c1=S,5933-0675,275.15
CC(=O)NC1=NN(C(C)=O)C2(S1)C(=O)N(C(C)=O)c1ccc(F)cc12,8015-6393,364.06
CCCCCC1CCC(C2CCC(O)CC2)CC1,00CS-0027,252.25
c1ccc(Sc2nc(-c3ccccc3)nc3c2oc2ccccc23)cc1,8009-1270,354.08
Cc1onc(C(=O)O)c1I,Y507-1420,252.92
O=S(=O)(c1ccc(Cl)s1)N1CCOCC1,Y205-9268,266.98
CSc1nnc2c(n1)OC(c1cc3c(cc1Br)OCO3)Nc1ccccc1-2,2049-1060,443.99
c1cn(C23CC4CC(CC(C4)C2)C3)nc1-n1cnnn1,Y501-9253,270.16
Cc1ccc2c(c1)C1C3CCC(C3)C1S(=O)(=O)N2,8017-0650,263.1
CNC(=O)N1CCCN2C(=O)N(C3CCCCC3)C(=O)C2C1,SD56-0776,308.18
S=c1[nH]c2c(Cl)c(Cl)c(Cl)cc2o1,8004-3844,252.89
N#Cc1cc2c(cc1C#N)Oc1ccc3ccccc3c1C=C2,8020-5530,294.08
c1cnc(-c2nc3c4c5c(sc4ncn3n2)CCC5)cn1,8018-0042,294.07
CC1CCN(CN2C(=O)N(CN3C(=O)N(CN4CCC(C)CC4)C(=O)C3(C)C)C(C)(C)C2=O)CC1,5151-0573,490.33
COc1ccc2oc3cc(OCC(=O)N4CCNC4=O)cc(O)c3c(=O)c2c1,Y041-8540,384.1
Cc1c(Br)nc(Br)n1C(C)C,Y507-4205,279.92
